feature,importance
h_dpc_NF,0.0
h_dpc_NG,0.0
h_dpc_NH,0.0
h_dpc_NK,0.0
h_dpc_NL,0.0
h_dpc_NM,0.0
h_dpc_NN,0.0
h_dpc_NP,0.0
h_dpc_NQ,0.0
v_dpc_CW,0.0
v_dpc_CY,0.0
v_dpc_DA,0.0
v_dpc_DC,0.0
v_dpc_DD,0.0
v_dpc_DE,0.0
v_dpc_DF,0.0
v_dpc_CN,0.0
v_dpc_DH,0.0
v_dpc_DI,0.0
v_dpc_DL,0.0
v_dpc_DM,0.0
v_dpc_DN,0.0
v_dpc_DP,0.0
v_dpc_DQ,0.0
h_dpc_NR,0.0
h_dpc_NT,0.0
h_dpc_NV,0.0
v_dpc_CP,0.0
h_dpc_NY,0.0
h_dpc_PA,0.0
h_dpc_PC,0.0
h_dpc_PD,0.0
h_dpc_PE,0.0
v_dpc_CQ,0.0
h_dpc_PH,0.0
h_dpc_PI,0.0
h_dpc_PK,0.0
h_dpc_PL,0.0
v_dpc_CR,0.0
h_dpc_PN,0.0
h_dpc_PP,0.0
h_dpc_PQ,0.0
h_dpc_PR,0.0
h_dpc_PS,0.0
h_dpc_PT,0.0
v_dpc_CS,0.0
h_dpc_PW,0.0
h_dpc_PY,0.0
h_dpc_QA,0.0
h_dpc_QC,0.0
h_dpc_QD,0.0
h_dpc_QE,0.0
h_dpc_QG,0.0
h_dpc_QH,0.0
h_dpc_QI,0.0
h_dpc_QK,0.0
h_dpc_QM,0.0
h_dpc_QN,0.0
h_dpc_QP,0.0
h_dpc_QQ,0.0
h_dpc_QR,0.0
h_dpc_QT,0.0
h_dpc_QW,0.0
h_dpc_QY,0.0
h_dpc_RA,0.0
h_dpc_RC,0.0
h_dpc_RD,0.0
h_dpc_RF,0.0
h_dpc_RG,0.0
h_dpc_RH,0.0
h_dpc_RK,0.0
h_dpc_RL,0.0
h_dpc_RM,0.0
h_dpc_RN,0.0
h_dpc_RP,0.0
h_dpc_RT,0.0
h_dpc_RV,0.0
h_dpc_RW,0.0
h_dpc_RY,0.0
h_dpc_SA,0.0
h_dpc_SC,0.0
h_dpc_SD,0.0
h_dpc_SE,0.0
h_dpc_SH,0.0
h_dpc_SI,0.0
h_dpc_SK,0.0
v_dpc_CT,0.0
h_dpc_SN,0.0
h_dpc_WG,0.0
h_dpc_SQ,0.0
h_dpc_SS,0.0
h_dpc_SV,0.0
h_dpc_SW,0.0
h_dpc_TA,0.0
h_dpc_TC,0.0
h_dpc_TD,0.0
h_dpc_TF,0.0
h_dpc_TG,0.0
h_dpc_TH,0.0
h_dpc_TI,0.0
h_dpc_TK,0.0
h_dpc_TL,0.0
h_dpc_TM,0.0
h_dpc_TN,0.0
h_dpc_TP,0.0
h_dpc_TQ,0.0
h_dpc_TR,0.0
h_dpc_TS,0.0
h_dpc_TV,0.0
h_dpc_TW,0.0
h_dpc_TY,0.0
h_dpc_VA,0.0
h_dpc_VC,0.0
h_dpc_VD,0.0
h_dpc_VE,0.0
h_dpc_VF,0.0
h_dpc_WH,0.0
